,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity,release_date,artists,sample_30s,name
825,0.704,0.233,0.0,-15.376,1,0.0646,0.83,0.0367,0.0771,0.712,144.045,audio_features,0dg9GI2GbHjjswsDPrizOB,spotify:track:0dg9GI2GbHjjswsDPrizOB,https://api.spotify.com/v1/tracks/0dg9GI2GbHjjswsDPrizOB,https://api.spotify.com/v1/audio-analysis/0dg9GI2GbHjjswsDPrizOB,166707,4,,,,https://p.scdn.co/mp3-preview/9d61ffa3c91b086eb543d399870c9ed8fbab50bd?cid=f0967aa1c7064a36856282c85b3644a4,How Can You Face Me?
826,0.597,0.315,10.0,-9.583,1,0.0991,0.959,0.636,0.0883,0.822,174.815,audio_features,6nIWphwUlDuSZYUd9vIZv1,spotify:track:6nIWphwUlDuSZYUd9vIZv1,https://api.spotify.com/v1/tracks/6nIWphwUlDuSZYUd9vIZv1,https://api.spotify.com/v1/audio-analysis/6nIWphwUlDuSZYUd9vIZv1,197867,4,,,,https://p.scdn.co/mp3-preview/679a68908a0da854d5761c92863d6ffa77ee02f7?cid=f0967aa1c7064a36856282c85b3644a4,Chicago Breakdown
827,0.565,0.163,3.0,-20.056,1,0.0597,0.99,0.735,0.185,0.226,114.554,audio_features,4JzoonYwqVoNs4HbZQJFfH,spotify:track:4JzoonYwqVoNs4HbZQJFfH,https://api.spotify.com/v1/tracks/4JzoonYwqVoNs4HbZQJFfH,https://api.spotify.com/v1/audio-analysis/4JzoonYwqVoNs4HbZQJFfH,176653,4,,,,https://p.scdn.co/mp3-preview/8830217bfd853528d27eeb523e549a06263e3141?cid=f0967aa1c7064a36856282c85b3644a4,Viper's Drag
828,0.699,0.412,10.0,-16.051,1,0.327,0.897,9.64e-05,0.128,0.655,108.865,audio_features,4mo3AVxhJPwV4yQMIAhMou,spotify:track:4mo3AVxhJPwV4yQMIAhMou,https://api.spotify.com/v1/tracks/4mo3AVxhJPwV4yQMIAhMou,https://api.spotify.com/v1/audio-analysis/4mo3AVxhJPwV4yQMIAhMou,167800,4,,,,https://p.scdn.co/mp3-preview/0b7d68a171a95bf2704bc599db3a3ebaeaac317b?cid=f0967aa1c7064a36856282c85b3644a4,The Joint Is Jumpin'
829,0.746,0.156,0.0,-16.504,1,0.0471,0.896,0.000521,0.709,0.536,127.875,audio_features,67lHQA6eJXtHPwha1PXvJl,spotify:track:67lHQA6eJXtHPwha1PXvJl,https://api.spotify.com/v1/tracks/67lHQA6eJXtHPwha1PXvJl,https://api.spotify.com/v1/audio-analysis/67lHQA6eJXtHPwha1PXvJl,189520,4,,,,https://p.scdn.co/mp3-preview/ecb934e66f8821ceafb4925db79db27ec6475106?cid=f0967aa1c7064a36856282c85b3644a4,Sugar Rose
830,0.58,0.126,5.0,-20.103,1,0.038,0.975,0.232,0.12,0.475,95.862,audio_features,6X5Viwfm2gWYjaEuEdKelA,spotify:track:6X5Viwfm2gWYjaEuEdKelA,https://api.spotify.com/v1/tracks/6X5Viwfm2gWYjaEuEdKelA,https://api.spotify.com/v1/audio-analysis/6X5Viwfm2gWYjaEuEdKelA,185693,4,,,,https://p.scdn.co/mp3-preview/a5adc33290b815d9419877d634f9f6296c041386?cid=f0967aa1c7064a36856282c85b3644a4,Lost Love
831,0.658,0.108,3.0,-18.916,1,0.0435,0.9,0.0177,0.135,0.411,81.085,audio_features,5EOPkk6bd6NgYhjuPKWFtx,spotify:track:5EOPkk6bd6NgYhjuPKWFtx,https://api.spotify.com/v1/tracks/5EOPkk6bd6NgYhjuPKWFtx,https://api.spotify.com/v1/audio-analysis/5EOPkk6bd6NgYhjuPKWFtx,210040,4,,,,https://p.scdn.co/mp3-preview/42d7f1ebb27e95326529a53319f1756db8bd07e9?cid=f0967aa1c7064a36856282c85b3644a4,Our Love Was Meant to Be
832,0.671,0.341,8.0,-9.597,1,0.0894,0.984,2.68e-05,0.143,0.626,164.49,audio_features,5hUP7BDeuNEXHYRIRp74gv,spotify:track:5hUP7BDeuNEXHYRIRp74gv,https://api.spotify.com/v1/tracks/5hUP7BDeuNEXHYRIRp74gv,https://api.spotify.com/v1/audio-analysis/5hUP7BDeuNEXHYRIRp74gv,171760,4,,,,https://p.scdn.co/mp3-preview/5981f3879d40a65292d8954dc8bf47f2fcac0e84?cid=f0967aa1c7064a36856282c85b3644a4,Heebie Jeebies
833,0.467,0.425,2.0,-10.594,1,0.0517,0.973,0.828,0.43,0.764,125.385,audio_features,6pXovRXvSN6jZdmpeNsbv1,spotify:track:6pXovRXvSN6jZdmpeNsbv1,https://api.spotify.com/v1/tracks/6pXovRXvSN6jZdmpeNsbv1,https://api.spotify.com/v1/audio-analysis/6pXovRXvSN6jZdmpeNsbv1,178364,4,,,,https://p.scdn.co/mp3-preview/3a433fe8e63894ba79b5cacb6a138f6c3c96ffce?cid=f0967aa1c7064a36856282c85b3644a4,Sail Away Lady - 2020 Remaster
834,0.655,0.193,2.0,-16.625,1,0.051,0.868,0.00676,0.249,0.676,163.276,audio_features,1u8R1k0NGh3RGCpDrUERBn,spotify:track:1u8R1k0NGh3RGCpDrUERBn,https://api.spotify.com/v1/tracks/1u8R1k0NGh3RGCpDrUERBn,https://api.spotify.com/v1/audio-analysis/1u8R1k0NGh3RGCpDrUERBn,195173,4,,,,https://p.scdn.co/mp3-preview/161bf0ecc43044f66d72fa6a677fa6eda726edc3?cid=f0967aa1c7064a36856282c85b3644a4,The Panic Is On
